text,coarse label
Hur utvecklades träldomen i Ryssland?,DESC
Vilka filmer inkluderade karaktären Popeye Doyle?,ENTY
Hur kan jag hitta en lista över kändisars riktiga namn?,DESC
Vilken fjäderfä fångar rampljuset efter det kinesiska apans år?,ENTY
Vad är den fullständiga formen av .com?,ABBR
Vilken föraktlig skurk stal korken från min lunch?,HUM
Vilket lag blev basebollens St. Louis Browns?,HUM
Vad är det äldsta yrket?,HUM
Vad är leverenzymer?,DESC
Namnge den ärriga prisjägaren i The Old West.,HUM
När föddes Ozzy Osbourne?,NUM
Varför faller tyngre föremål snabbare nedåt?,DESC
Vem var Yankees stolthet?,HUM
Vem dödade Gandhi?,HUM
Vad anses vara den dyraste katastrofen som försäkringsbranschen någonsin har stött på?,ENTY
Vilken utbredd amerikansk stat har flest flygplatser?,LOC
Vad behandlade den enda upphävda ändringen av USA:s konstitution?,DESC
Hur många judar avrättades i koncentrationsläger under andra världskriget?,NUM
"Vad är ""Nine Inch Nails""?",DESC
Vad är en antecknad bibliografi?,DESC
Vad är datumet för Boxing Day?,NUM
Vilka klädesplagg är poletter i Monopol?,ENTY
Namnge 11 berömda martyrer.,HUM
Vad är det olympiska mottot?,DESC
"Vad är ursprunget till namnet ""Scarlett""?",DESC
Vad är den näst mest använda vokalen i engelskan?,ENTY
Vem var uppfinnaren av Silly Putty?,HUM
Vad är det högsta vattenfallet i USA?,LOC
Namnge en golfbana i Myrtle Beach.,ENTY
Vilka två delstater omsluter Chesapeake Bay?,LOC
Vad står förkortningen AIDS för?,ABBR
Vad samlar en spermolog ihop?,ENTY
Hur många poäng utgör en perfekt runda i bowling?,NUM
"Vilket företag som tillverkar hårdvara för tv-spel säljer ""super-systemet""?",HUM
Hur många Community Chest-kort finns det i Monopol?,NUM
Vad tror mormoner?,DESC
När levde neandertalmänniskan?,NUM
I vilken religion var Isis naturgudinnan?,ENTY
"Var äger äventyren av ""The Swiss Family Robinson"" rum?",LOC
Vilken släkting till tvättbjörnen kallas ibland kattbjörnen?,ENTY
Hur kan jag registrera min webbplats gratis på Yahoo?,DESC
Vad var översten Edwin L. Drake den första att borra efter?,ENTY
Hur många människor i världen talar franska?,NUM
Hur många tum över sex fot är Venus de Milo?,NUM
Hur hittar eller väljer de vittnen till en avrättning?,DESC
Vilken cowboystjärna från 1920-talet red Tony the Wonder Horse?,HUM
Vilken cocktail inspirerade John Doxat att skriva boken Stirred-Not Shaken?,ENTY
Vilka internetleverantörer finns i Karibien?,HUM
Hur frågar man ut en främling på en dejt?,DESC
Vilket vapen är den mytologiska karaktären Apollo mest skicklig med?,ENTY
Vilket land tillhör Galapagosöarna?,LOC
Vad är etologi?,DESC
Vem var det muslimska folkets profet?,HUM
"Var kom termen ""86ed"" ifrån?",DESC
Vem är Snoopys ärkefiende?,HUM
Vad är lärandets natur?,DESC
Vilken är den enda färgen Johnny Cash bär på scenen?,ENTY
Vad är termen för en ung räv?,ENTY
Vilken amerikansk stat levde under sex flaggor?,LOC
Vad är Kashmirproblemet?,DESC
Var är slingan?,LOC
"Vad betyder ""utökad definition"" och hur skulle man skriva en uppsats om det?",DESC
Vilket lands huvudstad är Tirana?,LOC
Vad är titan?,DESC
Vem bor Herb och Tootsie bredvid?,HUM
Vilken stad har det äldsta förhållandet som systerstad med Los Angeles?,LOC
Vad är en kaldera?,DESC
Varför får folk valkar?,DESC
Vad heter turistattraktionerna i Reims?,LOC
Vad är Cushman och Wakefield kända för?,DESC
Vilken vattenmassa flyter Donaufloden ut i?,LOC
Vem är grundaren av Scientology?,HUM
Vad blir den sexfotiga Musca domestica när den går in i ett hus?,ENTY
Vad är historien om skateboarden?,DESC
Vem skådespelade i Singing in the Rain och The Singing Nun?,HUM
Hur gör jag bränsletegel från återvunnen tidningspapper?,DESC
Vilken målare från 1800-talet dog på Marquesasöarna?,HUM
Corpus callosum finns i vilken del av kroppen?,ENTY
Hur loggar jag in på startsidan för huvudkontoret av US European Command?,DESC
Vilket land ockuperade nazisterna först?,LOC
Vad är Nebraskas mest värdefulla resurs?,ENTY
Hur många arter av den stora vithajen finns det?,NUM
Vad är huvudlössens ursprung?,DESC
Vad är smeknamnet för staten Mississippi?,LOC
Vilken var den första tama fågeln?,ENTY
Hur många villi finns i tunntarmen?,NUM
Vilket land styrde kung Wenceslas?,LOC
Vad är en rädsla för skuggor?,ENTY
Vilka var de fem Marx-bröderna?,HUM
Vilket år uteslöts Nya Zeeland från ANZUS-alliansen?,NUM
När började CNN sända?,NUM
Vad får kroppen att skaka i kalla temperaturer?,DESC
Vad är björn- och tjurmarknader?,DESC
Vilken JRR Tolkien-bok har Bilbo Baggins som den centrala karaktären?,ENTY
